time,occupied,vacancies,birth_channels,slide_channels,birth_events,slide_events,site_reuses,max_site_births
0,0,64,192,0,0,0,0,0
0.0039307984242127388,2,62,181,10,1,0,0,1
0.0045620854284128699,4,60,170,20,2,0,0,1
0.0080632184330658736,6,58,160,28,3,0,0,1
0.013469285619259246,8,56,152,32,4,0,0,1
0.030145212549127345,10,54,141,42,5,1,0,1
0.033900704953698527,12,52,130,52,6,1,0,1
0.040815054547090918,14,50,119,62,7,1,0,1
0.045717816812858657,16,48,113,62,8,1,0,1
0.049546466001528851,18,46,104,68,9,1,0,1
0.054911733984695205,20,44,94,76,10,1,0,1
0.057388150312960573,22,42,86,80,11,1,0,1
0.064016780932928577,24,40,77,86,12,1,0,1
0.079256638976726704,26,38,76,76,13,3,1,2
0.11203266625703641,28,36,68,80,14,6,1,2
0.11279996657557777,30,34,61,82,15,6,1,2
0.12385678182923761,32,32,56,80,16,8,1,2
0.13661468613476169,34,30,44,92,17,10,1,2
0.15679525010586973,36,28,43,82,18,12,3,2
0.19310413230574955,38,26,35,86,19,15,3,2
0.20460957283833706,40,24,28,88,20,16,3,2
0.21925659908540718,42,22,23,86,21,17,5,2
0.22368250355794983,44,20,18,84,22,17,5,2
0.43478423168114588,46,18,19,70,23,29,7,2
0.43812211950387481,48,16,15,66,24,29,8,2
0.52376999647883549,50,14,10,64,25,32,8,2
0.56636937795470332,52,12,10,52,26,39,8,2
0.58936433730678228,54,10,7,46,27,39,9,2
0.61155222638684825,56,8,4,40,28,39,10,2
0.61858836923108018,58,6,2,32,29,39,12,3
1.327834508809169,60,4,0,24,30,66,14,3
1.6188960153369683,62,2,1,10,31,70,16,3
3.1001497327391103,64,0,0,0,32,86,17,3
