time,occupied,vacancies,births,translations,cube_exchanges,parallel_swaps,attempts,reused_sites,max_site_births,nx,ny,nz,ST1,SL1,ST2,SL2,zero_mode_power
0,0,64,0,0,0,0,0,0,0,0,0,0,4.2619792239278805e-38,4.2619792239278799e-38,1.6049416203226965e-35,1.6049416203226965e-35,0
0.01,6,58,3,0,0,0,9,0,1,2,1,0,0.010416666666666666,0.015625000000000003,0.015624999999999997,0.005208333333333333,0.078124999999999986
0.012663801734674032,10,54,5,0,0,0,12,0,1,2,1,2,0.010416666666666666,0.015625000000000003,0.036458333333333329,0.026041666666666675,0.140625
0.016037187437513305,10,54,5,0,0,0,13,0,1,2,1,2,0.010416666666666666,0.015625000000000003,0.036458333333333329,0.026041666666666675,0.140625
0.020309176209047358,10,54,5,0,0,0,16,0,1,2,1,2,0.010416666666666666,0.015625000000000003,0.036458333333333329,0.026041666666666675,0.140625
0.025719138090593452,10,54,5,0,0,0,17,0,1,2,1,2,0.010416666666666666,0.015625000000000003,0.036458333333333329,0.026041666666666675,0.140625
0.032570206556597842,12,52,6,0,0,0,23,0,1,3,1,2,0.010416666666666664,0.010416666666666664,0.03125,0.031250000000000007,0.21874999999999997
0.041246263829013523,16,48,8,1,0,1,29,0,1,3,1,4,0.026041666666666664,0.041666666666666664,0.062499999999999993,0.031250000000000021,0.03125
0.052233450742668427,20,44,10,1,0,1,41,0,1,5,1,4,0.046875,0.020833333333333336,0.062499999999999986,0.072916666666666685,0.03125
0.066147406412301504,24,40,12,1,0,2,49,0,1,5,2,5,0.0625,0.020833333333333336,0.1145833333333333,0.11458333333333334,0.15625
0.083767764006829212,28,36,14,1,0,3,69,0,1,6,3,5,0.052083333333333322,0.072916666666666644,0.17708333333333334,0.15624999999999989,0.093749999999999986
0.10608183551394489,30,34,15,2,0,3,83,0,1,6,4,5,0.057291666666666657,0.057291666666666644,0.13020833333333331,0.067708333333333329,0.14062499999999997
0.13433993325989005,32,32,16,2,0,3,111,0,1,7,4,5,0.052083333333333336,0.062499999999999986,0.13541666666666663,0.09375,0.21874999999999994
0.17012542798525895,36,28,18,2,0,4,132,0,1,7,4,7,0.046875,0.04166666666666665,0.22916666666666669,0.19791666666666666,0.15624999999999994
0.21544346900318842,42,22,21,3,0,5,167,4,2,8,6,7,0.0625,0.026041666666666668,0.24479166666666666,0.171875,0.265625
0.2728333376486769,42,22,21,4,0,5,206,4,2,8,6,7,0.09375,0.057291666666666657,0.28645833333333337,0.171875,0.078124999999999972
0.34551072945922218,44,20,22,7,1,5,280,6,2,8,7,7,0.098958333333333329,0.052083333333333329,0.12499999999999997,0.072916666666666657,0.21874999999999994
0.43754793750741861,52,12,26,10,1,5,366,8,2,8,7,11,0.15104166666666666,0.072916666666666671,0.1875,0.031249999999999986,0.46875
0.55410203300094929,54,10,27,12,1,5,450,8,2,8,7,12,0.098958333333333329,0.088541666666666657,0.25520833333333331,0.046874999999999986,0.14062499999999994
0.70170382867038328,54,10,27,13,1,5,553,8,2,8,7,12,0.098958333333333329,0.067708333333333315,0.21354166666666666,0.046874999999999986,0.140625
0.88862381627434062,54,10,27,16,1,5,708,8,2,8,7,12,0.088541666666666657,0.057291666666666657,0.25520833333333337,0.046874999999999986,0.32812499999999994
1.1253355826007658,54,10,27,20,1,5,926,8,2,8,7,12,0.088541666666666644,0.088541666666666657,0.31770833333333331,0.088541666666666644,0.640625
1.4251026703029985,56,8,28,23,1,5,1144,8,3,8,8,12,0.10416666666666666,0.093749999999999986,0.31249999999999989,0.041666666666666657,0.5625
1.8047217668271713,56,8,28,27,1,5,1449,8,3,8,8,12,0.11979166666666663,0.083333333333333315,0.23958333333333329,0.020833333333333332,0.3125
2.2854638641349929,58,6,29,34,1,6,1830,8,4,8,8,13,0.18749999999999997,0.026041666666666657,0.28645833333333337,0.026041666666666664,0.828125
2.8942661247167525,62,2,31,35,1,6,2299,10,4,9,9,13,0.203125,0.015624999999999993,0.32812500000000006,0.015624999999999993,0.921875
3.6652412370796288,62,2,31,37,1,7,2883,10,4,9,9,13,0.18229166666666666,0.015625,0.28645833333333331,0.01562499999999999,1.6718749999999996
4.641588833612782,62,2,31,37,1,7,3640,10,4,9,9,13,0.18229166666666666,0.015625,0.28645833333333331,0.01562499999999999,1.6718749999999996
5.8780160722749137,62,2,31,37,1,8,4535,10,4,9,9,13,0.22395833333333334,0.015624999999999986,0.4114583333333332,0.015625000000000007,1.171875
7.443803013251693,62,2,31,38,1,8,5730,10,4,9,9,13,0.23437500000000003,0.015624999999999997,0.30729166666666657,0.015625000000000007,0.796875
9.4266845511788624,62,2,31,39,1,8,7294,10,4,9,9,13,0.22395833333333334,0.015624999999999986,0.4114583333333332,0.015625000000000007,1.171875
11.937766417144383,62,2,31,41,1,10,9253,10,4,9,9,13,0.15104166666666666,0.015624999999999997,0.36979166666666669,0.01562499999999999,1.4218749999999996
15.117750706156624,62,2,31,41,1,10,11610,10,4,9,9,13,0.15104166666666666,0.015624999999999997,0.36979166666666669,0.01562499999999999,1.4218749999999996
19.144819761699591,62,2,31,41,1,10,14713,10,4,9,9,13,0.15104166666666666,0.015624999999999997,0.36979166666666669,0.01562499999999999,1.4218749999999996
24.24462017082331,62,2,31,41,1,10,18529,10,4,9,9,13,0.15104166666666666,0.015624999999999997,0.36979166666666669,0.01562499999999999,1.4218749999999996
30.702906297578512,62,2,31,42,1,11,23547,10,4,9,9,13,0.16145833333333331,0.015624999999999993,0.30729166666666669,0.015625000000000003,0.796875
38.881551803080917,62,2,31,45,1,12,29838,10,4,9,9,13,0.15104166666666666,0.015624999999999997,0.36979166666666669,0.01562499999999999,1.4218749999999996
49.238826317067463,62,2,31,46,1,13,37878,10,4,9,9,13,0.203125,0.015624999999999997,0.39062499999999994,0.015624999999999997,0.546875
62.355073412739152,62,2,31,60,1,13,47977,10,4,9,9,13,0.203125,0.015624999999999997,0.39062499999999994,0.015624999999999997,0.546875
78.9652286849973,62,2,31,87,1,14,60725,10,4,9,9,13,0.22395833333333334,0.015624999999999986,0.4114583333333332,0.015625000000000007,1.171875
100,62,2,31,113,1,14,76802,10,4,9,9,13,0.22395833333333334,0.015624999999999986,0.4114583333333332,0.015625000000000007,1.171875
