time,occupied,vacancies,births,translations,cube_exchanges,parallel_swaps,attempts,reused_sites,max_site_births,nx,ny,nz,ST1,SL1,ST2,SL2,zero_mode_power
0,384,128,0,0,0,0,0,0,1,64,64,64,2.6575952441582539e-32,2.7720476434575158e-32,4.050724873563173e-32,3.4727294820747319e-32,23.999999999999996
0.01,384,128,0,0,0,0,63,0,1,64,64,64,2.6575952441582539e-32,2.7720476434575158e-32,4.050724873563173e-32,3.4727294820747319e-32,23.999999999999996
0.012663801734674032,384,128,0,0,0,0,79,0,1,64,64,64,2.6575952441582539e-32,2.7720476434575158e-32,4.050724873563173e-32,3.4727294820747319e-32,23.999999999999996
0.016037187437513305,384,128,0,0,0,0,106,0,1,64,64,64,2.6575952441582539e-32,2.7720476434575158e-32,4.050724873563173e-32,3.4727294820747319e-32,23.999999999999996
0.020309176209047358,384,128,0,0,0,1,130,0,1,64,64,64,0.0048269619546699909,0.0052083333333333391,0.0039062500000000061,0.0052083333333333356,23.015625
0.025719138090593452,384,128,0,0,0,1,159,0,1,64,64,64,0.0048269619546699909,0.0052083333333333391,0.0039062500000000061,0.0052083333333333356,23.015625
0.032570206556597842,384,128,0,0,0,1,197,0,1,64,64,64,0.0048269619546699909,0.0052083333333333391,0.0039062500000000061,0.0052083333333333356,23.015625
0.041246263829013523,384,128,0,0,0,1,265,0,1,64,64,64,0.0048269619546699909,0.0052083333333333391,0.0039062500000000061,0.0052083333333333356,23.015625
0.052233450742668427,384,128,0,0,0,1,345,0,1,64,64,64,0.0048269619546699909,0.0052083333333333391,0.0039062500000000061,0.0052083333333333356,23.015625
0.066147406412301504,384,128,0,0,0,1,421,0,1,64,64,64,0.0048269619546699909,0.0052083333333333391,0.0039062500000000061,0.0052083333333333356,23.015625
0.083767764006829212,384,128,0,1,0,2,537,0,1,64,64,64,0.0070497572426733018,0.0074311286213366457,0.010416666666666663,0.0065104166666666756,22.539062499999996
0.10608183551394489,384,128,0,1,0,3,678,0,1,64,64,64,0.0065104166666666565,0.0092725525306766119,0.0078125000000000052,0.0039062500000000139,21.601562499999996
0.13433993325989005,386,126,1,2,0,5,880,1,2,64,65,64,0.012067404886674947,0.0040179510906600364,0.027343749999999983,0.0058593749999999991,19.572265625
0.17012542798525895,386,126,1,2,0,5,1098,1,2,64,65,64,0.012067404886674947,0.0040179510906600364,0.027343749999999983,0.0058593749999999991,19.572265625
0.21544346900318842,390,122,3,3,0,5,1390,3,2,64,67,64,0.0078914845986716373,0.0057014058026567255,0.029947916666666664,0.0045572916666666591,19.142578124999996
0.2728333376486769,390,122,3,6,0,5,1760,3,2,64,67,64,0.018735790750684905,0.017959496378663363,0.028645833333333353,0.0019531249999999996,17.830078124999996
